Experiment,Source quality,Direct columns,Bridged columns
"Vol forecast: fast 13w, slow 104w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 104w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 104w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 26w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 26w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 26w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 52w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 52w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 52w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 104w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 104w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 26w, slow 104w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Leverage cap 6x proxy,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Leverage cap 8x proxy,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Leverage cap 10x proxy,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Leverage cap 12x proxy,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 001,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 002,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 003,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 004,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 005,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 006,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 007,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 008,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 009,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 010,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 011,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 012,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 013,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 014,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 015,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 016,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 017,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 018,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 019,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 020,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 021,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 022,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 023,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 024,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 025,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 026,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 027,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 028,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 029,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 030,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 031,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 032,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 033,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 034,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 035,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 036,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 037,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 038,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 039,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 040,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 041,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 042,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 043,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 044,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 045,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 046,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 047,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 048,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 049,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 050,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 051,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 052,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 053,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 054,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 055,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 056,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 057,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 058,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 059,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 060,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 061,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 062,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 063,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 064,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 065,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 066,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 067,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 068,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 069,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 070,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 071,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 072,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 073,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 074,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 075,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 076,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 077,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 078,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 079,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 080,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 081,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 082,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 083,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 084,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 085,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 086,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 087,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 088,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 089,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 090,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 091,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 092,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 093,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 094,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 095,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 096,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 097,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 098,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 099,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 100,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 101,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 102,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 103,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 104,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 105,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 106,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 107,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 108,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 109,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 110,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 111,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 112,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 113,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 114,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 115,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 116,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 117,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 118,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 119,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 120,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 121,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 122,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 123,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 124,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 125,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 126,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 127,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 128,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 129,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 130,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 131,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 132,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 133,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 134,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 135,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 136,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 137,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 138,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 139,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 140,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 141,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 142,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 143,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 144,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 145,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 146,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 147,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 148,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 149,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 150,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 151,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 152,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 153,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 154,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 155,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 156,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 157,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 158,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 159,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 160,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 161,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 162,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 163,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 164,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 165,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 166,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 167,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 168,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 169,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 170,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 171,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 172,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 173,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 174,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 175,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 176,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static grid candidate 177,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
