Experiment,Source quality,Direct columns,Bridged columns
"Equity trend filter: 26w, cut 25%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 50%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 50%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 75%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 75%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 100%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 100%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 25%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 25%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 50%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 50%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 75%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 75%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
