Experiment,Source quality,Daily equal-vol scale,Observations,Years,CAGR,Log growth,Volatility,Sharpe,Max drawdown,Worst day,Skew,CAGR uplift vs baseline,Mean daily PnL difference,Stdev daily PnL difference,Daily t-stat requested formula,Daily Newey-West t-stat 5 lags,Daily Newey-West t-stat 20 lags,Weekly t-stat from same daily P&Ls,Category,Hypothesis,Daily full-search max-t adjusted p
Grid winner: maximum worst-subperiod growth,Direct daily source P&L,1.0739838598424516,4719,18.726190476190474,0.4010378230292879,0.33721326415625513,0.3249839901392155,1.1605918179131767,-0.4637719380429989,-0.11821292566695152,-0.4294729940475629,0.04330560044272547,0.00012469825297363888,0.007755139437338607,1.1045763666378878,1.1002944306450266,1.0606649543611244,1.2286275628576027,Data-mined static grid,Best candidate from the constrained static grid under the named objective; biased upward by selection.,0.9933422103861518
"Vol forecast: fast 13w, slow 104w, floor 1%",Direct daily source P&L,1.0483715135762939,4719,18.726190476190474,0.36251353853720825,0.3093311840469653,0.32498143802338125,1.0747560421152706,-0.47214853664449963,-0.11529990017716077,-0.4612898308824348,0.0047813159506457925,1.3997351646973774e-05,0.0008823392089784281,1.0897710919067132,1.06623470807712,1.0339360716258497,1.290344145732323,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9933422103861518
"Vol forecast: fast 13w, slow 104w, floor 2%",Direct daily source P&L,1.0483715135762939,4719,18.726190476190474,0.36251353853720825,0.3093311840469653,0.32498143802338125,1.0747560421152706,-0.47214853664449963,-0.11529990017716077,-0.4612898308824348,0.0047813159506457925,1.3997351646973774e-05,0.0008823392089784281,1.0897710919067132,1.06623470807712,1.0339360716258497,1.290344145732323,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9933422103861518
Static grid candidate 202,Direct daily source P&L,1.0286289019918915,4719,18.726190476190474,0.38794686088936037,0.32782557668989204,0.32498138842038127,1.1319995361912283,-0.424891850943553,-0.1750441647689994,-0.5376131683683648,0.030214638302797914,8.782328646715789e-05,0.005833117492931895,1.0342700515654282,1.012698851593078,1.0728677075536361,0.9791618306000877,Static grid search,,0.9946737683089214
Static grid candidate 307,Direct daily source P&L,1.0636139439976182,4719,18.726190476190474,0.39212238431385926,0.3308294778132153,0.3249820081967644,1.140865211374779,-0.4607413907129785,-0.11992013438444743,-0.4041257968075391,0.03439016172729681,9.925719295388017e-05,0.006646812867689057,1.0258255829203904,1.0525513218486147,1.0211350296200399,1.1306844155968703,Static grid search,,0.9946737683089214
"High-vol equity cut: 13w, q70%, cut 25%",Direct daily source P&L,1.0585633042209206,4719,18.726190476190474,0.37971579720807824,0.32187753390760765,0.324980746442936,1.1134344477997413,-0.4851387640517669,-0.12014993532420733,-0.4722851613158767,0.02198357462151579,6.388021612099436e-05,0.004336543248285077,1.0119235042050845,1.0545574006531495,1.0643209777566727,1.152763715386013,Regime allocation,Reduce direct equity during unusually high realized-volatility regimes.,0.996005326231691
"Vol forecast: fast 13w, slow 104w, floor 4%",Direct daily source P&L,1.0480519134402677,4719,18.726190476190474,0.3626218607098646,0.30941068260894034,0.32498108587394864,1.0750142186808702,-0.4741367143252474,-0.11591812648757352,-0.467551129244073,0.00488963812330212,1.433031745578348e-05,0.0010201333822431858,0.964992283598189,0.9368356031996062,0.9266853852563697,1.0822219609158064,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9986684420772304
Static: equity total 35%,Direct daily source P&L,1.0543578743722333,4719,18.726190476190474,0.37069059473618693,0.31531469658154165,0.3249810024014545,1.0931037663669472,-0.46711360517533973,-0.10884674108526717,-0.42321910823995895,0.012958372149624475,3.7660091257271754e-05,0.0026912082705977413,0.9613002338010003,0.9728173060918214,0.9667445786819184,1.0637255137360226,Static risk budgets,Change total direct-equity risk while rescaling all other sleeves pro rata.,0.9986684420772304
Static: styles total 15%,Direct daily source P&L,1.0494621062473566,4719,18.726190476190474,0.3684619071666646,0.3136874136465609,0.3249811434974285,1.0881847442546835,-0.4649627105776528,-0.11608638556383473,-0.4645530624056868,0.01072968458010215,3.1316114326772485e-05,0.002343701333541924,0.9178899006386233,0.869886043880964,0.8241271177545186,0.95195505052687,Static risk budgets,Change the market-neutral style allocation and rescale all other sleeves pro rata.,1.0
Static: remove corn and silver,Direct daily source P&L,1.0337429996187912,4719,18.726190476190474,0.36363278850039626,0.3101523065340268,0.324980663241557,1.0772365884449753,-0.44774403774000837,-0.11224790445019817,-0.4399407786378423,0.005900565913833811,1.7196468937267902e-05,0.0013256389546096234,0.8911257857296564,0.8810952279091205,0.8914916162601966,0.5962926828643141,Simplification,Use gold as the only static commodity holding.,1.0
